Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
Casa Móvil Sur,20,info@casamovilsur.com,🆕 Sin Contactar,,"Mobil homes, casas móviles y prefabricadas. +2895 entregadas","CASA MÓVIL SUR (duplicado) - ⚠️ NO casas modulares construcción. MOBILHOMES (casas móviles tipo caravanas). +20 años experiencia. +2,895 unidades entregadas. Fusión CasamovilSur + Rostick + MobilHomeMadrid. Venta mobilhomes segunda mano y nuevos. Presencia toda España: Málaga, Barcelona, Madrid, Andalucía. Desde 23.900€. Target: Campings, parcelas, NO construcción tradicional.",🚀 Excelente,💤 Baja,Málaga,⭐ Bajo Fit,🏪 Pequeña (5-20 empleados),681 98 35 26,"Alhaurín de la Torre, Málaga",casamovilsur.com,,,,,,,,,,,
MR Módulos,20,info@mrmodulos.es,🆕 Sin Contactar,,Construcción modular. 20 años experiencia,"MR MÓDULOS - Construcción modular con +20 años experiencia. Sede: Huarte, Navarra. Email: mailto:info@mrmodulos.es. Web: http://mrmodulos.es. Target: Sector construcción necesitando espacios modulares.",✅ Buena,⭐ Media,Madrid,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),,"Huarte, Navarra",mrmodulos.es,,"Pavillones/Obra, Prefabricadas",,,,"Industrial, Prefabricados",,,,,
Prefabricats Carbonell,,info@prefabricatscarbonell.es,🆕 Sin Contactar,,+75 años. Prefabricados hormigón. ISO,"Prefabricats Carbonell - Contacto verificado en web oficial: email mailto:info@prefabricatscarbonell.es. Teléfonos sedes: Maria de la Salut 971 525 141, Alcúdia 971 545 079, Palma 971 431 945. Redes enlazadas en la web: Facebook y LinkedIn.",,🔥 Alta,Baleares,,,971 525 141,Mallorca,prefabricatscarbonell.es,,,https://www.linkedin.com/company/90834535/admin/,https://www.facebook.com/PrefabricatsCarbonellPalma,,,,,,,
Prefabrik,,contacto@prefabrik.es,🆕 Sin Contactar,,Catálogo extenso casas modulares. Personalización completa,,,⭐ Media,Barcelona,,,,Nacional,prefabrik.es,,,,,,,,,,,
Casas CUBE Madrid,,madrid@casascube.com,🆕 Sin Contactar,,Pionera en casas prefabricadas modulares. Casa piloto en Xanadú,,,⭐ Media,Madrid,,,608 651 744,Arroyomolinos (CC Xanadú),casasprefabricadascube.com,,,,,,,,,,,
ABC Arquitectura Modular,,web@abcmodular.com,🆕 Sin Contactar,,Construcción industrializada,"EMPRESA construcción industrializada y arquitectura modular. ALQUILER y VENTA módulos prefabricados. Soluciones para arquitectos, ingenieros y promotores. Focus: Arquitectura sostenible, oficinas prefabricadas/modulares, vestuarios, instalaciones industriales, sector salud, oficinas venta inmobiliarias. Múltiples delegaciones (Madrid, Barcelona, Baleares, Valencia, Alicante). Sistema construcción industrializada. Política calidad certificada. Target: B2B profesional (arquitectos, ingenieros, promotores). Espacios trabajo personalizados.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏬 Mediana (20-50 empleados),961 662 728,"Pobla de Vallbona, Valencia",abcmodular.com,,,https://www.linkedin.com/company/abc-arquitectura-modular,,,,,,,,
Casas en Madera Siglo XXI,,info@casasenmadera-siglo21.com,🆕 Sin Contactar,,Casas y cabañas de madera,"Casas en Madera Siglo XXI - Contacto verificado en web oficial: Dirección Carrer Relleu s/n, 03339 Pol. Ind. Faima, Elche (Alicante). Tel. 965 404 841 (también 679 808 628). Email mailto:info@casasenmadera-siglo21.com. En la página de contacto revisada no aparecen enlaces a redes sociales (solo WhatsApp y formulario).",,⭐ Media,Alicante,,,965 404 841,"Pol. Ind. Faima, Elche (Alicante)",casasenmadera-siglo21.com,,,,,,,,,,,
Arcitur Homes,,infoventas@arciturhomes.com,🆕 Sin Contactar,,Casas modulares. Adaptación climática local. Precio competitivo,"ARCITUR HOMES - Empresa CASAS MODULARES Y PREFABRICADAS Barcelona. Web: http://arciturhomes.com. Email: mailto:infoventas@arciturhomes.com. RRSS: Instagram, Facebook, TikTok, LinkedIn, Twitter. Construcción rápida 70% menos tiempo. Proceso industrializado control fábrica. Personalización total diseños únicos. Alta eficiencia energética materiales última generación. Aislamiento térmico acústico superior. Vivienda sostenible asequible excelente calidad-precio. Target: Clientes Barcelona área metropolitana buscando casas modulares personalizadas.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),,Barcelona,arciturhomes.com,,,,https://facebook.com/arciturhomes,https://instagram.com/arciturhomes,,,,,,
Moelven Byggmodul,,post@moelven.com,🆕 Sin Contactar,,"Modulares temporales y permanentes. Escuelas, hoteles. Nórdico","MOELVEN BYGGMODUL AS - División modular GRUPO MOELVEN (100+ años). Sede: Industrivegen 12, Brumunddal, 2390 Innlandet, NORUEGA. Tel central: +47 623 47 000. Email: mailto:post@moelven.com. CEO: Morten Kristiansen. Managing Director Building Systems: Vera Flatebø (+47 99275393). Fábrica en Moelv, Noruega. Módulos MADERA calidad noruega. Aplicaciones: escuelas, guarderías, oficinas, hoteles, residencias estudiantes, residencias mayores, viviendas multifamiliares. Producción interior fábrica - clima controlado. Robots preparación materiales. 100+ años tradición madera Escandinavia. Target: REFERENCIA internacional - líder modular madera Escandinavia.",,🔥 Alta,Dinamarca,,,+47 623 47 000,Noruega,moelven.com,,,,,,,,,,,
KuBox Modular,15,info@kuboxmodular.com,🆕 Sin Contactar,,CONTENEDORES MARÍTIMOS reciclados Galicia. +15 años. Casas + locales + stands eventos. Venta y alquiler.,"KUBOX MODULAR - Construcción modular CONTENEDORES MARÍTIMOS reciclados. +15 AÑOS experiencia. Sede: Calle 14,2, San Cibrao das Viñas, Ourense (Galicia). Tel: +34 679 01 53 68. Email: mailto:info@kuboxmodular.com. Web: http://kuboxmodular.com. DIVISIONES: KUBOX LIVING (viviendas), KUBOX EVENT (stands/eventos). Servicios: Casas modulares, Locales comerciales, Stands eventos/ferias, Oficinas prefabricadas. VENTA y ALQUILER. Transporte y montaje incluido. Construcción sostenible contenedores reciclados. Redes: Instagram, LinkedIn, X/Twitter, YouTube verificados. Operan: Galicia, Asturias. Target: Viviendas económicas + eventos Galicia/Asturias.",✅ Buena,⭐ Media,Madrid,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),+34 679 01 53 68,"San Cibrao das Viñas, Ourense, Galicia",kuboxmodular.com,,,https://linkedin.com/company/kubox-modular,,https://instagram.com/kuboxmodular,,,,,,
Rent Modul Mallorca,,info@rent-modul.com,🆕 Sin Contactar,,"Ibiza, Menorca. Alquiler y venta. Amplia experiencia","RENT MODUL SLU - Contacto verificado en Política de Privacidad de la web oficial: email mailto:info@rent-modul.com y tel. 971 760 222. Dirección: Son Pobanya 9-11, 07007 Palma (Illes Balears).",,⭐ Media,Baleares,,,971 760 222,07007 Palma de Mallorca,rent-modul.com,,,,,,,,,,,
Modular House,,modularinteligente@gmail.com,🆕 Sin Contactar,,Casas modulares inteligentes,,,⭐ Media,Toledo,,,619 279 063,"Talavera la Nueva, Toledo",modular-house.es,,,,,,,,,,,
Moodul,,info@moodul.es,🆕 Sin Contactar,,Casas modulares industrializadas,"MOODUL - Empresa CASAS MODULARES PREFABRICADAS HORMIGÓN. Lema: 'If you could build your perfect home, wouldn't you?' Objetivo: SIMPLIFICAR proceso construcción vivienda vs construcción convencional. Ventajas Moodul: 1) PLAZOS DEFINIDOS, 2) PRESUPUESTO CERRADO, 3) TRANQUILIDAD tener todo bajo control. Muchas personas sueñan construir casa perfecta pero posponen por complejidad tiempo requerido construcción convencional. Moodul simplifica proceso. Casas modulares calidad hormigón. Proceso fabricación industrializada control calidad. Personalización diseño. Construcción rápida eficiente. Target: Clientes buscando casa perfecta simplificación proceso construcción presupuesto cerrado plazos definidos tranquilidad.",🚀 Excelente,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),960 760 400,Alicante/Tarragona,moodul.es,,,,,,,,,,,
Pastor Structures,,,🆕 Sin Contactar,,"60 años hormigón prefabricado. Naves, edificios","PASTOR STRUCTURES & ARCHITECTURE (http://pastorsa.com) - En el footer de la web oficial figura: Oficinas Centrales, Carrer Clavet 10, 07450 Santa Margalida. Tel. 971 52 31 31. Redes enlazadas: Facebook e Instagram.",,⭐ Media,Baleares,,,971 52 31 31,Mallorca,pastorsa.com,,,,https://www.facebook.com/PREFABRICATS,https://www.instagram.com/pastor_structures_architecture,,,,,,
KuBox Modular,,info@kuboxmodular.com,🆕 Sin Contactar,,"Casas modulares llave en mano. Terrazas, piscinas modulares",KUBOX MODULAR (duplicado) - ⚠️ NO encontrada información empresa española construcción modular este nombre. Posible registro error/duplicado base datos. Requiere verificación manual.,❌ Pobre,💤 Baja,Salamanca,❓ Por Evaluar,❓ Desconocido,679 01 53 68,Ourense,kuboxmodular.com,,,,,,,,,,,
Prefabrik,,contacto@prefabrik.es,🆕 Sin Contactar,,Catálogo extenso. Precios competitivos. Llave en mano,PREFABRIK (http://prefabrik.es) - La web muestra formulario de presupuesto/contacto (sin teléfono visible en la página revisada). Se encontró página de Facebook asociada: Casas prefabricadas - Prefabrik España.,,⭐ Media,Madrid,,,,Nacional,prefabrik.es,,,,https://www.facebook.com/prefabrikes/?locale=es_LA,,,,,,,
Casas Natura,18,info@casasnatura.com,🆕 Sin Contactar,💶 1-5M€,Empresa familiar Valencia. Fábrica 3.200m². Exportación Francia+Alemania. 120 días construcción máximo.,"CASAS NATURA - EMPRESA FAMILIAR VALENCIA. Fundada 2007 (18 años experiencia). 20 empleados. Fábrica 3.200m² en Museros (Valencia). Exportación Francia+Alemania. Sistema industrializado 100% fabricación en fábrica. Construcción 120 días máximo. Montaje 1 día. Clasificación energética A o consumo casi nulo. Garantía 10 años estructura, 30 años tejado. 2.577 followers Instagram. Precio cerrado llave en mano. 34+ viviendas entregadas nacional. Gamas: Natura Nero, otros catálogos personalizables. 4 proyectos en homify con 9 valoraciones. Materiales: acero, hormigón, acabados SILESTONE/EGGER. Target: Clientes buscando vivienda personalizada eficiente Valencia y exportación.",🚀 Excelente,⭐ Media,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),961 452 817,"Museros, Valencia",casasnatura.com,,,https://es.linkedin.com/company/casas-natura,,https://www.instagram.com/casasnatura/,"Madera, Prefabricados, Residencial, Sostenible/Eco",,,,,
Prefabrik Mallorca,,contacto@prefabrik.es,🆕 Sin Contactar,,Llave en mano. Presupuestos transparentes,Prefabrik - Email de contacto: mailto:contacto@prefabrik.es. En la web se dirige a formulario de presupuesto/contacto y no se ve teléfono directo en la home revisada. Facebook encontrado (misma página usada en Prefabrik). No se encontraron enlaces oficiales a Instagram/LinkedIn/YouTube desde la web revisada.,,⭐ Media,Baleares,,,,Mallorca,prefabrik.es,,,,https://www.facebook.com/prefabrikes/?locale=es_LA,,,,,,,
La Casa de Hormigón,30,comercial@lacasadehormigon.es,🆕 Sin Contactar,,Casas prefabricadas modulares hormigón armado. Presupuesto cerrado,"LA CASA DE HORMIGÓN - Empresa Madrid especializada CASAS MODULARES PREFABRICADAS HORMIGÓN. +30 años experiencia sector. Teléfono: 916 300 001. Email: mailto:comercial@lacasadehormigon.es. Web: http://lacasadehormigon.es. Diseño, fabricación y montaje viviendas modulares hormigón. Viviendas 100% personalizadas plazo entrega pocos meses. Innovación y excelencia. Funcionalidad, estética, durabilidad. Construcción industrializada rápida limpia vs tradicional. Target: Clientes Madrid viviendas prefabricadas hormigón personalizadas.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),916 300 001,Madrid,lacasadehormigon.es,,,,,,,,,,,
3Pol Habitat,20,info@3polhabitat.com,🆕 Sin Contactar,💴 <1M€,Viviendas industrializadas madera,"DESPACHO ARQUITECTOS ESPECIALIZADO. Fundada 2021 (marca 3pol Arquitectes +15 años). Equipo 3 arquitectos socios. Wood Frame + Steel Frame. Plan IRTA (innovación). Certificaciones PEFC/FSC madera sostenible. Google Reviews 5/5 (7 reseñas). Sistema industrializado completo. Project Management integral. Passivhaus diseño bioclimático. Obra Oliva, Valencia. Instagram activo (contenido valenciano). LinkedIn NO ENCONTRADO.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏠 Micro (<5 empleados),962 852 959,"Oliva, Valencia",3polhabitat.com,,,,https://www.facebook.com/3polhabitat,https://www.instagram.com/3polhabitat/,,,,,,
Algeco Barcelona,50,dpto.comercial@algeco.com,🆕 Sin Contactar,💰 >10M€,Líder europeo arquitectura modular temporal y permanente. +50 años,"ALGECO - LÍDER construcción modular España. Parte grupo europeo: 18 países (Alemania, Francia, UK, Italia, etc). +50 años experiencia. Flota: 241.000+ espacios modulares. +100 ubicaciones Europa. 31.000+ clientes. ALQUILER y VENTA. 20 delegaciones Península Ibérica. Sede Madrid: Fuente el Saz de Jarama. Focus: Oficinas prefabricadas, casetas obra, contenedores marítimos, aulas, módulos sanitarios, vestuarios, eventos, almacenamiento. Servicios 360º. Gamas: Progress 1, Progress 2, Advance Confort. Target: Construcción, industria, servicios, administración pública. GRAN EMPRESA multinacional.",🚀 Excelente,⭐ Media,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏢 Grande (50+ empleados),936 820 202,"Sant Andreu de la Barca, Barcelona",algeco.es,,,,,,,,,,,
Europa Prefabri Toledo,30,oficina@europa-prefabri.com,🆕 Sin Contactar,,Alquiler y venta construcciones modulares,EUROPA PREFABRI (Delegación Toledo) - Empresa pionera porta-cabin en España. +30 años. Líder en diseño y fabricación de soluciones modulares prefabricadas. Contacto delegación Toledo verificado en web oficial: 925 55 94 60. Email general: mailto:oficina@europa-prefabri.com. Redes oficiales disponibles en web (FB/IG/LinkedIn/YouTube/X).,✅ Buena,💤 Baja,Toledo,⭐⭐ Fit Medio,🏬 Mediana (20-50 empleados),925 55 94 60,"El Viso de San Juan, Toledo",europa-prefabri.com,,,https://www.linkedin.com/company/europa-prefabri,https://www.facebook.com/europa.prefabri,https://www.instagram.com/europaprefabri/,,,,https://www.youtube.com/channel/UCCa7v5QibgcaVsVKb6ZDjDQ,https://twitter.com/europaprefabri,
Prefabricados PM,30,info@prefabricadosdehormigonmalaga.com,🆕 Sin Contactar,,Empresa local Córdoba,"PREFABRICADOS PM - Empresa especializada materiales construcción y prefabricados hormigón. +30 años experiencia sector. Sede: Carretera A7054 Km 13,870, Estación de Cártama, 29580 Málaga. Tel: 659 943 831. Email: mailto:info@prefabricadosdehormigonmalaga.com. También operan en Córdoba (mailto:info@prefabricadodehormigoncordoba.es), Huelva y Marbella. Compromiso innovación y nuevas tecnologías. Servicios para pequeñas, medianas, grandes empresas y particulares. Construcciones modulares: oficinas, viviendas, aseos, vestuarios, casetas obra. Prefabricados hormigón y piedra artificial. Target: Sector construcción Andalucía necesitando espacios prefabricados.",✅ Buena,🔥 Alta,Córdoba,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),659 943 831,"Estación de Cártama, Málaga",prefabricadodehormigoncordoba.es,,"Modular Hormigón, Prefabricadas",,,,"Hormigón, Industrial, Prefabricados",,,,,
Cronotopos Arquitectura,,contacto@cronotopos.es,🆕 Sin Contactar,,"Estudio arquitectura + constructora. Rehabilitación, reformas, obra nueva.","CRONOTOPOS ARQUITECTURA - Estudio arquitectura y CONSTRUCTORA en Alicante. Sedes: Alicante y Zaragoza. Tel: 876 538 750. Email: mailto:contacto@cronotopos.es. Equipo joven multidisciplinar con experiencia nacional e internacional. Arquitectos, aparejadores, ingenieros y profesionales obra. Servicios: Rehabilitación edificios, reformas integrales, construcción viviendas obra nueva, reforma oficinas, interiorismo. Metodología: relación cercana cliente, ideas innovadoras y sostenibles, personalizadas. Construcción rápida, eficaz, transparente. Proyectos: Vivienda Volúmenes Estratificados (335m², Pinseque Zaragoza). Partner AyE 2025. Artículo http://arquitecturayempresa.es. NO especializados casas modulares prefabricadas, más bien reformas y obra nueva tradicional.",,⭐ Media,Alicante,,,876 538 750,03005 Alicante,cronotopos.es,,,,,,Residencial,,,,,
Casas inHAUS,10,hola@casasinhaus.com,🆕 Sin Contactar,💶 1-5M€,LÍDER casas modulares hormigón alta gama. 111 modelos. Fábrica +4.000m² Valencia. Premio CEEI.,"CASAS INHAUS S.L. - LÍDER casas modulares prefabricadas HORMIGÓN alta gama España. Fundada 2015. Sede: Calle Maestro Calve 1-10, 46001 Valencia + Fábrica/Showroom Almussafes (+4.000m²). Tel: 963 519 219 / 900 102 961. Email: mailto:hola@casasinhaus.com. NIF: B98533953. 111 MODELOS catálogo (20 nuevos). 5 MESES fabricación nave + 15 días montaje terreno. Proceso llave en mano TODO INCLUIDO (espejos, armarios, electrodomésticos). Servicio integral 100% personalizado. Premio CEEI trayectoria empresarial. Artículo Valencia Plaza, Levante-EMV, http://infoconstrucción.es. Exportación EEUU (éxito internacional). 19 empleados. Equipo: arquitectos, aparejadores, ingenieros, decoradores, constructores. Houzz: diseño arquitectónico, casas energéticamente eficientes. Target: Clientes alta gama lujo.",🚀 Excelente,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),900 102 961,"Almussafes, Valencia",casasinhaus.com,,,,,,,,,,,
Cabisuar Toledo,32,comercial@cabisuar.es,🆕 Sin Contactar,,Delegación Toledo. Matriz: Fuenlabrada. Múltiples delegaciones España.,"CABISUAR - CONSTRUCCIONES MODULARES CABISUAR SA. Fundada 1993 (32 años). DELEGACIONES VERIFICADAS: Madrid/Central (Fuenlabrada): 916 06 24 12, mailto:comercial@cabisuar.es. Barcelona (Olesa de Monsterrat): 938 036 400, mailto:catalunya@cabisuar.es. Valencia: 961 565 248, mailto:cabisuarvalencia@cabisuar.es. Cartagena: 968 512 257, mailto:info@cabisuarcartagena.com. Toledo (Esquivias): 925 519 822. Almería: delegación activa. +35 años experiencia. Líderes fabricación modular prefabricada. Especialistas: obras, construcción, eventos, casetas obra, edificios prefabricados, aulas prefabricadas, vestuarios. Presencia nacional e internacional (América del Sur). Materiales: paneles sándwich, acero alta resistencia. Blog activo con contenido técnico.",⚠️ Regular,⭐ Media,Toledo,⭐⭐⭐ Buen Fit,🏠 Micro (<5 empleados),925 519 822,"Esquivias, Toledo",cabisuar.com,,,,,,,,,,,
Modular Projects,12,clientes@modularprojects.es,🆕 Sin Contactar,,Oficina en Alicante. Presupuestos personalizados,"MODULAR PROJECTS - Contacto y redes verificados en web oficial: Tel. 657 15 60 65 y email mailto:clientes@modularprojects.es. Redes enlazadas desde la web: Facebook, Instagram y X/Twitter.",✅ Buena,🔥 Alta,Alicante,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),657 15 60 65,"Calle Segura, 6, 03004 Alicante",modularprojects.es,,,,https://www.facebook.com/Modular-Projects-145924372121713,https://www.instagram.com/explore/tags/modularprojects/,,,,,https://twitter.com/modularprojects?lang=es,
Grupo Resan,26,info@spacegardenbyresan.es,🆕 Sin Contactar,,Arquitectura modular lujo. LOCAL Salamanca,"GRUPO RESAN - Empresa Salamanca especializada CONSTRUCCIÓN, REHABILITACIÓN Y ARQUITECTURA MODULAR. +25 años experiencia. +1,000 clientes satisfechos. Tel Salamanca: 923 212 175. Tel Madrid: 91 258 25 64. Email: mailto:info@spacegardenbyresan.es. Web: http://gruporesan.es + http://spacegardenbyresan.es. Direcciones: Salamanca (C/ Azafranal 43, 37001), Madrid (C/ Lagasca 27, Bajo F, 28001). Marca Space Garden by Resan desde 2015: MÓDULOS PREFABRICADOS JARDÍN. Productos: Gimnasios, Hotelero, Suites, Despachos, Comercial, Gastronómico, Wellness, Aseos. Sistema construcción taller + fabricación módulos. Precio cerrado acordado. Plazos concretos pactados. Cero residuos propiedad. Target: Sector construcción + clientes buscando módulos prefabricados jardín campings hoteles.",✅ Buena,⭐ Media,Salamanca,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),923 212 175,Salamanca,gruporesan.es,,,,,,,,,,,
NaturMadera Hogar,,info@naturmaderahogar.com,🆕 Sin Contactar,,Casas prefabricadas de madera,"NaturMadera Hogar - Contacto verificado en web oficial: Carretera Alicante-Murcia km 707, CP 03330 Crevillent, Alicante. Teléfonos: 966 113 700, 615 504 447, 654 879 204. Email mailto:info@naturmaderahogar.com.",,⭐ Media,Alicante,,,966 113 700,"Crevillent, Alicante",naturmaderahogar.com,,,,,,,,,,,
Algeco Madrid,,dpto.comercial@algeco.com,🆕 Sin Contactar,,Oficinas Centrales Madrid. Líder europeo arquitectura modular +30 años,"ALGECO MADRID - Delegación Madrid de ALGECO España. Mismos servicios que matriz: Líder construcción modular España. +50 años experiencia. Alquiler y venta módulos prefabricados. Casetas obra, oficinas, aulas, sanidad modular, contenedores, eventos. 20 delegaciones península. Red logística. Gran stock disponible. Soluciones temporales y permanentes. Versatilidad máxima. Target: Sector construcción, educación, sanidad, industrial Madrid y zona centro.",🚀 Excelente,💤 Baja,Madrid,⭐⭐ Fit Medio,🏢 Grande (50+ empleados),918 235 423,"Fuente el Saz de Jarama, Madrid",algeco.es,,,,,,,,,,,
Modulnor,52,,🆕 Sin Contactar,💶 1-5M€,Arquitectura modular desde 1973. Acero. +3.000 proyectos,"MODULNOR - Empresa FAMILIAR fundada 1973 (52 años experiencia). Segunda generación. Arquitectura modular construcción industrializada ACERO. Especialistas sistema construcción basado ACERO por comportamiento, precisión, durabilidad. Soluciones adaptadas todos sectores. +3,000 proyectos entregados. Sectores: Educativo, sanitario, self-storage, ocio/restauración, aeroportuario, industrial, administración pública. Proyectos nacionales INTERNACIONALES (España, Portugal, Francia, Suiza). Certificaciones: ISO 9001, ISO 14001, ISO 45001. Miembro: REA, AESS, FEDESSA. Construcción entorno controlado fábrica. Sistema modular flexible personalizable. Clientes: Europcar, Hertz, RedTras. Oficinas alquiler coches aeropuertos. Edificios modulares verticales/horizontales.",✅ Buena,🔥 Alta,Madrid,⭐⭐⭐⭐ Muy Buen Fit,🏬 Mediana (20-50 empleados),916 421 761,"Fuenlabrada, Madrid",modulnor.com,ISO,,,,,,,,,,
ABS - American Building System,25,info@abs.es,🆕 Sin Contactar,💶 1-5M€,Constructor viviendas pasivas Passivhaus. 100% capital español. Visitada Ministra Vivienda 2025.,"ABS - AMERICAN BUILDING SYSTEM S.L. Tel: 949 264 625. WhatsApp: 670 735 393. 100% capital español. +12.000 m² instalaciones propias Azuqueca de Henares (Guadalajara). Especialistas construcción industrializada MADERA. Casas pasivas y Clase A. EFICIENCIA ENERGÉTICA: ahorro 90% calefacción/enfriamiento, 95% verano, 80% invierno. Plazo: 30-45 días fabricación + 1 día instalación. Precios: desde 207.636€ (Clase A) hasta 300.990€ (Pasiva) IVA incluido. Entrega 120 días. VISITADA MINISTRA VIVIENDA Isabel Rodríguez (abril 2025) - inversión 1.300M€ vivienda industrializada anunciada. Top 175 empresas Guadalajara. Redes verificadas: Facebook, YouTube, Instagram, TikTok, LinkedIn, Twitter.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),949 264 625,"Azuqueca de Henares, Guadalajara",abs.es,Passivhaus,,,https://www.facebook.com/abs.es,https://www.instagram.com/abs_casaspasivas,,,,https://www.youtube.com/abs,,
EcoSystem House,15,info@ecosystemhouse.com,🆕 Sin Contactar,,Casas industrializadas passivhaus. Viviendas lujo modulares. 90% ahorro energético,"ECOSYSTEM HOUSE - Constructor casas Barcelona especializado VIVIENDAS ECOEFICIENTES y CASAS PASIVAS. +15 años experiencia casas pasivas. Sede: Barcelona. Tel: 930 177 470. Email: mailto:info@ecosystemhouse.com. Sistemas constructivos pre-industrializados orientados máxima eficiencia energética. ESPECIALISTAS: Casas passivhaus, viviendas lujo modulares. Ahorro energético hasta 90%. Calculador precios online (vivienda unifamiliar). Sistemas estructurales: Madera, Madera CLT, Acero, Acero reforzado, Panel Hormigón, Obra tradicional. Servicios: Cimentación, parking, piscina. Familias al servicio de familias. Target: Clientes Barcelona/Tarragona/Gerona buscando viviendas eficientes passivhaus alta calidad.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),930 177 470,Barcelona/Tarragona/Gerona,ecosystemhouse.com,Passivhaus,"Passivhaus, Prefabricadas, Sostenible",,,,"Lujo/Alta Gama, Passivhaus, Residencial, Sostenible/Eco",,,,,
Anémona Home,,,🆕 Sin Contactar,,Casas prefabricadas modernas,"ANÉMONA HOME - Empresa CASAS PREFABRICADAS diseño construcción VIVIENDAS MODERNAS ALTA CALIDAD. Tel: 692 946 039 (web oficial). Web: http://anemonahome.com. Ubicación: Carcaixent, Valencia. Ofrecen HOGARES MODERNOS, EFICIENTES Y PERSONALIZADOS. Adaptación necesidades cada cliente. Tours virtuales 360° modelos disponibles. Modelos destacados: Menorca 54m², Valencia 72m² (54m² habitables + 18m² porche, techo dos aguas), Mallorca 90m². Ventajas: ELEGANCIA (diseños modernos sofisticados), Construcción rápida (días montaje completo), Alto ahorro energético, Clientes satisfechos. Precio NO incluye transporte ni montaje (presupuesto personalizado según modelo, acceso, destino). Catálogo descargable disponible. Target: Clientes buscando casas prefabricadas diseño moderno alta calidad eficiencia energética.",🚀 Excelente,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),692 946 039,"Carcaixent, Valencia",anemonahome.com,,,,,,,,,,,
Lovetainer,10,contacto@lovetainer.es,🆕 Sin Contactar,💶 1-5M€,Casas contenedor marítimo. Empresa LOCAL Córdoba,"LOCAL CÓRDOBA. Especialistas contenedores marítimos reciclados. Instalaciones tecnológicas. Proyectos internacionales. Entrega 3 meses. Ubicación: Aldea Quintana, Córdoba.",✅ Buena,🔥 Alta,Córdoba,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),603 89 40 88,"Aldea Quintana, Córdoba",lovetainer.es,,,,,,"Contenedores, Industrial, Residencial, Sostenible/Eco",,,,,
FOCUS Moduler,30,,🆕 Sin Contactar,,"+30 años. Producción, venta y alquiler pavillones","FOCUS MODULER - ⚠️ EMPRESA DANESA (Dinamarca), NO española. +30 años experiencia. Ubicación: Randers, Dinamarca. Producción, venta y ALQUILER pabellones modulares. Información limitada disponible online. NO opera España - empresa danesa mercado escandinavo. ⚠️ DESCALIFICAR: Fuera de España.",⚠️ Regular,💤 Baja,Dinamarca,⭐ Bajo Fit,❓ Desconocido,,Randers,focusmoduler.dk,,,,,,,,,,,
